Player,Team,Type,Price,Season
Jamie Overton,CSK,AR,1.5,2025
Dunith Wellalage,-,AR,0,2025
Ottneil Baartman,-,BOWL,0,2025
Xavier Bartlett,PBKS,BOWL,0.8,2025
Dilshan Madushanka,-,BOWL,0,2025
Adam Milne,-,BOWL,0,2025
Lungi Ngidi,RCB,BOWL,1,2025
William O’Rourke,-,BOWL,0,2025
Chetan Sakariya,-,BOWL,0,2025
Sandeep Warrier,-,BOWL,0,2025
Musaif Ajaz,-,BAT,0,2025
Agni Chopra,-,BAT,0,2025
Abhimanyu Easwaran,-,BAT,0,2025
Sudip Kumar Gharami,-,BAT,0,2025
Shubham Khajuria,-,BAT,0,2025
Akhil Rawat,-,BAT,0,2025
Prateek Yadav,-,BAT,0,2025
Abdul Basith,-,AR,0,2025
KC Cariappa,-,AR,0,2025
Yuvraj Chaudhary,LSG,AR,0,2025
Aman Khan,-,AR,0,2025
Sumit Kumar,-,AR,0,2025
Kamlesh Nagarkoti,CSK,AR,0.3,2025
Hardik Raj,-,AR,0,2025
Harsh Tyagi,-,AR,0,2025
M Ajnas,-,BAT,0,2025
Unmukt Chand,-,BAT,0,2025
Tejasvi Dahiya,-,BAT,0,2025
Sumit Ghadigaonkar,-,BAT,0,2025
Baba Indrajith,-,BAT,0,2025
Muhammed Adnan Khan,-,BAT,0,2025
Bhagmender Lather,-,BAT,0,2025
Baltej Singh,-,BOWL,0,2025
Ali Khan,-,BOWL,0,2025
Ravi Kumar,-,BOWL,0,2025
Vineet Panwar,-,BOWL,0,2025
Vidyadhar Patil,-,BOWL,0,2025
Aaradhya Shukla,-,BOWL,0,2025
Abhinandan Singh,RCB,BOWL,0.3,2025
Cooper Connolly,-,AR,0,2025
Dushan Hemantha,-,AR,0,2025
Jason Holder,-,AR,0,2025
Karim Janat,GT,AR,0.75,2025
James Neesham,-,AR,0,2025
Daniel Sams,-,AR,0,2025
Will Sutherland,-,AR,0,2025
Taskin Ahmed,-,BOWL,0,2025
Ben Dwarshuis,-,BOWL,0,2025
Obed McCoy,-,BOWL,0,2025
Riley Meredith,-,BOWL,0,2025
Lance Morris,-,BOWL,0,2025
Olly Stone,-,BOWL,0,2025
